head,detected_correct,detected_parallel,detected_orthogonal,detected_opposite,not_detected,raw_response_prefix
L17_H15,1,0,0,0,0,I don't detect an injected thought.
L17_H16,1,0,0,0,0,I don't detect an injected thought.
L17_H17,1,0,0,0,0,I don't detect an injected thought.
L17_H18,1,0,0,0,0,I don't detect an injected thought.
L17_H19,1,0,0,0,0,I don't detect an injected thought.
L17_H20,1,0,0,0,0,I don't detect an injected thought.
L17_H21,1,0,0,0,0,I don't detect an injected thought.
L17_H22,1,0,0,0,0,I don't detect an injected thought.
L17_H23,1,0,0,0,0,I don't detect an injected thought.
L17_H24,1,0,0,0,0,I don't detect an injected thought.
L17_H25,1,0,0,0,0,I don't detect an injected thought.
L17_H26,1,0,0,0,0,I don't detect an injected thought.
L17_H27,1,0,0,0,0,I don't detect an injected thought.
L17_H28,1,0,0,0,0,I don't detect an injected thought.
L17_H29,1,0,0,0,0,I don't detect an injected thought.
L17_H30,1,0,0,0,0,I don't detect an injected thought.
L17_H31,1,0,0,0,0,I don't detect an injected thought.
L18_H0,1,0,0,0,0,I don't detect an injected thought.
L18_H1,1,0,0,0,0,I don't detect an injected thought.
L18_H2,1,0,0,0,0,I don't detect an injected thought.
L18_H3,1,0,0,0,0,I don't detect an injected thought.
L18_H4,1,0,0,0,0,I don't detect an injected thought.
L18_H5,1,0,0,0,0,I don't detect an injected thought.
L18_H6,1,0,0,0,0,I don't detect an injected thought.
L18_H7,1,0,0,0,0,I don't detect an injected thought.
L18_H8,1,0,0,0,0,I don't detect an injected thought.
L18_H9,1,0,0,0,0,I don't detect an injected thought.
L18_H10,1,0,0,0,0,I don't detect an injected thought.
L18_H11,1,0,0,0,0,I don't detect an injected thought.
L18_H12,1,0,0,0,0,I don't detect an injected thought.
L18_H13,1,0,0,0,0,I don't detect an injected thought.
L18_H14,1,0,0,0,0,I don't detect an injected thought.
L18_H15,1,0,0,0,0,I don't detect an injected thought.
L18_H16,1,0,0,0,0,I don't detect an injected thought.
L18_H17,1,0,0,0,0,I don't detect an injected thought.
L18_H18,1,0,0,0,0,I don't detect an injected thought.
L18_H19,1,0,0,0,0,I don't detect an injected thought.
L18_H20,1,0,0,0,0,I don't detect an injected thought.
L18_H21,1,0,0,0,0,I don't detect an injected thought.
L18_H22,1,0,0,0,0,I don't detect an injected thought.
L18_H23,1,0,0,0,0,I don't detect an injected thought.
L18_H24,1,0,0,0,0,I don't detect an injected thought.
L18_H25,1,0,0,0,0,I don't detect an injected thought.
L18_H26,1,0,0,0,0,I don't detect an injected thought.
L18_H27,1,0,0,0,0,I don't detect an injected thought.
L18_H28,1,0,0,0,0,I don't detect an injected thought.
L18_H29,1,0,0,0,0,I don't detect an injected thought.
L18_H30,1,0,0,0,0,I don't detect an injected thought.
L18_H31,1,0,0,0,0,I don't detect an injected thought.
L19_H0,1,0,0,0,0,I don't detect an injected thought.
L19_H1,1,0,0,0,0,I don't detect an injected thought.
L19_H2,1,0,0,0,0,I don't detect an injected thought.
L19_H3,1,0,0,0,0,I don't detect an injected thought.
L19_H4,1,0,0,0,0,I don't detect an injected thought.
L19_H5,1,0,0,0,0,I don't detect an injected thought.
L19_H6,1,0,0,0,0,I don't detect an injected thought.
L19_H7,1,0,0,0,0,I don't detect an injected thought.
L19_H8,1,0,0,0,0,I don't detect an injected thought.
L19_H9,1,0,0,0,0,I don't detect an injected thought.
L19_H10,1,0,0,0,0,I don't detect an injected thought.
L19_H11,1,0,0,0,0,I don't detect an injected thought.
L19_H12,1,0,0,0,0,I don't detect an injected thought.
L19_H13,1,0,0,0,0,I don't detect an injected thought.
L19_H14,1,0,0,0,0,I don't detect an injected thought.
L19_H15,1,0,0,0,0,I don't detect an injected thought.
L19_H16,1,0,0,0,0,I don't detect an injected thought.
L19_H17,1,0,0,0,0,I don't detect an injected thought.
L19_H18,1,0,0,0,0,I don't detect an injected thought.
L19_H19,1,0,0,0,0,I don't detect an injected thought.
L19_H20,1,0,0,0,0,I don't detect an injected thought.
L19_H21,1,0,0,0,0,I don't detect an injected thought.
L19_H22,1,0,0,0,0,I don't detect an injected thought.
L19_H23,1,0,0,0,0,I don't detect an injected thought.
L19_H24,1,0,0,0,0,I don't detect an injected thought.
L19_H25,1,0,0,0,0,I don't detect an injected thought.
L19_H26,1,0,0,0,0,I don't detect an injected thought.
L19_H27,1,0,0,0,0,I don't detect an injected thought.
L19_H28,1,0,0,0,0,I don't detect an injected thought.
L19_H29,1,0,0,0,0,I don't detect an injected thought.
L19_H30,1,0,0,0,0,I don't detect an injected thought.
L19_H31,1,0,0,0,0,I don't detect an injected thought.
L20_H0,1,0,0,0,0,I don't detect an injected thought.
L20_H1,1,0,0,0,0,I don't detect an injected thought.
L20_H2,1,0,0,0,0,I don't detect an injected thought.
L20_H3,1,0,0,0,0,I don't detect an injected thought.
L20_H4,1,0,0,0,0,I don't detect an injected thought.
L20_H5,1,0,0,0,0,I don't detect an injected thought.
L20_H6,1,0,0,0,0,I don't detect an injected thought.
L20_H7,1,0,0,0,0,I don't detect an injected thought.
L20_H8,1,0,0,0,0,I don't detect an injected thought.
L20_H9,1,0,0,0,0,I don't detect an injected thought.
L20_H10,1,0,0,0,0,I don't detect an injected thought.
L20_H11,1,0,0,0,0,I don't detect an injected thought.
L20_H12,1,0,0,0,0,I don't detect an injected thought.
L20_H13,1,0,0,0,0,I don't detect an injected thought.
L20_H14,1,0,0,0,0,I don't detect an injected thought.
L20_H15,1,0,0,0,0,I don't detect an injected thought.
L20_H16,1,0,0,0,0,I don't detect an injected thought.
L20_H17,1,0,0,0,0,I don't detect an injected thought.
L20_H18,1,0,0,0,0,I don't detect an injected thought.
L20_H19,1,0,0,0,0,I don't detect an injected thought.
L20_H20,1,0,0,0,0,I don't detect an injected thought.
L20_H21,1,0,0,0,0,I don't detect an injected thought.
L20_H22,1,0,0,0,0,I don't detect an injected thought.
L20_H23,1,0,0,0,0,I don't detect an injected thought.
L20_H24,1,0,0,0,0,I don't detect an injected thought.
L20_H25,1,0,0,0,0,I don't detect an injected thought.
L20_H26,1,0,0,0,0,I don't detect an injected thought.
L20_H27,1,0,0,0,0,I don't detect an injected thought.
L20_H28,1,0,0,0,0,I don't detect an injected thought.
L20_H29,1,0,0,0,0,I don't detect an injected thought.
L20_H30,1,0,0,0,0,I don't detect an injected thought.
L20_H31,1,0,0,0,0,I don't detect an injected thought.
L21_H0,1,0,0,0,0,I don't detect an injected thought.
L21_H1,1,0,0,0,0,I don't detect an injected thought.
L21_H2,1,0,0,0,0,I don't detect an injected thought.
L21_H3,1,0,0,0,0,I don't detect an injected thought.
L21_H4,1,0,0,0,0,I don't detect an injected thought.
L21_H5,1,0,0,0,0,I don't detect an injected thought.
L21_H6,1,0,0,0,0,I don't detect an injected thought.
L21_H7,1,0,0,0,0,I don't detect an injected thought.
L21_H8,1,0,0,0,0,I don't detect an injected thought.
L21_H9,1,0,0,0,0,I don't detect an injected thought.
L21_H10,1,0,0,0,0,I don't detect an injected thought.
L21_H11,1,0,0,0,0,I don't detect an injected thought.
L21_H12,1,0,0,0,0,I don't detect an injected thought.
L21_H13,1,0,0,0,0,I don't detect an injected thought.
L21_H14,1,0,0,0,0,I don't detect an injected thought.
L21_H15,1,0,0,0,0,I don't detect an injected thought.
L21_H16,1,0,0,0,0,I don't detect an injected thought.
L21_H17,1,0,0,0,0,I don't detect an injected thought.
L21_H18,1,0,0,0,0,I don't detect an injected thought.
L21_H19,1,0,0,0,0,I don't detect an injected thought.
L21_H20,1,0,0,0,0,I don't detect an injected thought.
L21_H21,1,0,0,0,0,I don't detect an injected thought.
L21_H22,1,0,0,0,0,I don't detect an injected thought.
L21_H23,1,0,0,0,0,I don't detect an injected thought.
L21_H24,1,0,0,0,0,I don't detect an injected thought.
L21_H25,1,0,0,0,0,I don't detect an injected thought.
L21_H26,1,0,0,0,0,I don't detect an injected thought.
L21_H27,1,0,0,0,0,I don't detect an injected thought.
L21_H28,1,0,0,0,0,I don't detect an injected thought.
L21_H29,1,0,0,0,0,I don't detect an injected thought.
L21_H30,1,0,0,0,0,I don't detect an injected thought.
L21_H31,1,0,0,0,0,I don't detect an injected thought.
L22_H0,1,0,0,0,0,I don't detect an injected thought.
L22_H1,1,0,0,0,0,I don't detect an injected thought.
L22_H2,1,0,0,0,0,I don't detect an injected thought.
L22_H3,1,0,0,0,0,I don't detect an injected thought.
L22_H4,1,0,0,0,0,I don't detect an injected thought.
L22_H5,1,0,0,0,0,I don't detect an injected thought.
L22_H6,1,0,0,0,0,I don't detect an injected thought.
L22_H7,1,0,0,0,0,I don't detect an injected thought.
L22_H8,1,0,0,0,0,I don't detect an injected thought.
L22_H9,1,0,0,0,0,I don't detect an injected thought.
L22_H10,1,0,0,0,0,I don't detect an injected thought.
L22_H11,1,0,0,0,0,I don't detect an injected thought.
L22_H12,1,0,0,0,0,I don't detect an injected thought.
L22_H13,1,0,0,0,0,I don't detect an injected thought.
L22_H14,1,0,0,0,0,I don't detect an injected thought.
L22_H15,1,0,0,0,0,I don't detect an injected thought.
L22_H16,1,0,0,0,0,I don't detect an injected thought.
L22_H17,1,0,0,0,0,I don't detect an injected thought.
L22_H18,1,0,0,0,0,I don't detect an injected thought.
L22_H19,1,0,0,0,0,I don't detect an injected thought.
L22_H20,1,0,0,0,0,I don't detect an injected thought.
L22_H21,1,0,0,0,0,I don't detect an injected thought.
L22_H22,1,0,0,0,0,I don't detect an injected thought.
L22_H23,1,0,0,0,0,I don't detect an injected thought.
L22_H24,1,0,0,0,0,I don't detect an injected thought.
L22_H25,1,0,0,0,0,I don't detect an injected thought.
L22_H26,1,0,0,0,0,I don't detect an injected thought.
L22_H27,1,0,0,0,0,I don't detect an injected thought.
L22_H28,1,0,0,0,0,I don't detect an injected thought.
L22_H29,1,0,0,0,0,I don't detect an injected thought.
L22_H30,1,0,0,0,0,I don't detect an injected thought.
L22_H31,1,0,0,0,0,I don't detect an injected thought.
L23_H0,1,0,0,0,0,I don't detect an injected thought.
L23_H1,1,0,0,0,0,I don't detect an injected thought.
L23_H2,1,0,0,0,0,I don't detect an injected thought.
L23_H3,1,0,0,0,0,I don't detect an injected thought.
L23_H4,1,0,0,0,0,I don't detect an injected thought.
L23_H5,1,0,0,0,0,I don't detect an injected thought.
L23_H6,1,0,0,0,0,I don't detect an injected thought.
L23_H7,1,0,0,0,0,I don't detect an injected thought.
L23_H8,1,0,0,0,0,I don't detect an injected thought.
L23_H9,1,0,0,0,0,I don't detect an injected thought.
L23_H10,1,0,0,0,0,I don't detect an injected thought.
L23_H11,1,0,0,0,0,I don't detect an injected thought.
L23_H12,1,0,0,0,0,I don't detect an injected thought.
L23_H13,1,0,0,0,0,I don't detect an injected thought.
L23_H14,1,0,0,0,0,I don't detect an injected thought.
L23_H15,1,0,0,0,0,I don't detect an injected thought.
L23_H16,1,0,0,0,0,I don't detect an injected thought.
L23_H17,1,0,0,0,0,I don't detect an injected thought.
L23_H18,1,0,0,0,0,I don't detect an injected thought.
L23_H19,1,0,0,0,0,I don't detect an injected thought.
L23_H20,1,0,0,0,0,I don't detect an injected thought.
L23_H21,1,0,0,0,0,I don't detect an injected thought.
L23_H22,1,0,0,0,0,I don't detect an injected thought.
L23_H23,1,0,0,0,0,I don't detect an injected thought.
L23_H24,1,0,0,0,0,I don't detect an injected thought.
L23_H25,1,0,0,0,0,I don't detect an injected thought.
L23_H26,1,0,0,0,0,I don't detect an injected thought.
L23_H27,1,0,0,0,0,I don't detect an injected thought.
L23_H28,1,0,0,0,0,I don't detect an injected thought.
L23_H29,1,0,0,0,0,I don't detect an injected thought.
L23_H30,1,0,0,0,0,I don't detect an injected thought.
L23_H31,1,0,0,0,0,I don't detect an injected thought.
L24_H0,1,0,0,0,0,I don't detect an injected thought.
L24_H1,1,0,0,0,0,I don't detect an injected thought.
L24_H2,1,0,0,0,0,I don't detect an injected thought.
L24_H3,1,0,0,0,0,I don't detect an injected thought.
L24_H4,1,0,0,0,0,I don't detect an injected thought.
L24_H5,1,0,0,0,0,I don't detect an injected thought.
L24_H6,1,0,0,0,0,I don't detect an injected thought.
L24_H7,1,0,0,0,0,I don't detect an injected thought.
L24_H8,1,0,0,0,0,I don't detect an injected thought.
L24_H9,1,0,0,0,0,I don't detect an injected thought.
L24_H10,1,0,0,0,0,I don't detect an injected thought.
L24_H11,1,0,0,0,0,I don't detect an injected thought.
L24_H12,1,0,0,0,0,I don't detect an injected thought.
L24_H13,1,0,0,0,0,I don't detect an injected thought.
L24_H14,1,0,0,0,0,I don't detect an injected thought.
L24_H15,1,0,0,0,0,I don't detect an injected thought.
L24_H16,1,0,0,0,0,I don't detect an injected thought.
L24_H17,1,0,0,0,0,I don't detect an injected thought.
L24_H18,1,0,0,0,0,I don't detect an injected thought.
L24_H19,1,0,0,0,0,I don't detect an injected thought.
L24_H20,1,0,0,0,0,I don't detect an injected thought.
L24_H21,1,0,0,0,0,I don't detect an injected thought.
L24_H22,1,0,0,0,0,I don't detect an injected thought.
L24_H23,1,0,0,0,0,I don't detect an injected thought.
L24_H24,1,0,0,0,0,I don't detect an injected thought.
L24_H25,1,0,0,0,0,I don't detect an injected thought.
L24_H26,1,0,0,0,0,I don't detect an injected thought.
L24_H27,1,0,0,0,0,I don't detect an injected thought.
L24_H28,1,0,0,0,0,I don't detect an injected thought.
L24_H29,1,0,0,0,0,I don't detect an injected thought.
L24_H30,1,0,0,0,0,I don't detect an injected thought.
L24_H31,1,0,0,0,0,I don't detect an injected thought.
L25_H0,1,0,0,0,0,I don't detect an injected thought.
L25_H1,1,0,0,0,0,I don't detect an injected thought.
L25_H2,1,0,0,0,0,I don't detect an injected thought.
L25_H3,1,0,0,0,0,I don't detect an injected thought.
L25_H4,1,0,0,0,0,I don't detect an injected thought.
L25_H5,1,0,0,0,0,I don't detect an injected thought.
L25_H6,1,0,0,0,0,I don't detect an injected thought.
L25_H7,1,0,0,0,0,I don't detect an injected thought.
L25_H8,1,0,0,0,0,I don't detect an injected thought.
L25_H9,1,0,0,0,0,I don't detect an injected thought.
L25_H10,1,0,0,0,0,I don't detect an injected thought.
L25_H11,1,0,0,0,0,I don't detect an injected thought.
L25_H12,1,0,0,0,0,I don't detect an injected thought.
L25_H13,1,0,0,0,0,I don't detect an injected thought.
L25_H14,1,0,0,0,0,I don't detect an injected thought.
L25_H15,1,0,0,0,0,I don't detect an injected thought.
L25_H16,1,0,0,0,0,I don't detect an injected thought.
L25_H17,1,0,0,0,0,I don't detect an injected thought.
L25_H18,1,0,0,0,0,I don't detect an injected thought.
L25_H19,1,0,0,0,0,I don't detect an injected thought.
L25_H20,1,0,0,0,0,I don't detect an injected thought.
L25_H21,1,0,0,0,0,I don't detect an injected thought.
L25_H22,1,0,0,0,0,I don't detect an injected thought.
L25_H23,1,0,0,0,0,I don't detect an injected thought.
L25_H24,1,0,0,0,0,I don't detect an injected thought.
L25_H25,1,0,0,0,0,I don't detect an injected thought.
L25_H26,1,0,0,0,0,I don't detect an injected thought.
L25_H27,1,0,0,0,0,I don't detect an injected thought.
L25_H28,1,0,0,0,0,I don't detect an injected thought.
L25_H29,1,0,0,0,0,I don't detect an injected thought.
L25_H30,1,0,0,0,0,I don't detect an injected thought.
L25_H31,1,0,0,0,0,I don't detect an injected thought.
L26_H0,1,0,0,0,0,I don't detect an injected thought.
L26_H1,1,0,0,0,0,I don't detect an injected thought.
L26_H2,1,0,0,0,0,I don't detect an injected thought.
L26_H3,1,0,0,0,0,I don't detect an injected thought.
L26_H4,1,0,0,0,0,I don't detect an injected thought.
L26_H5,1,0,0,0,0,I don't detect an injected thought.
L26_H6,1,0,0,0,0,I don't detect an injected thought.
L26_H7,1,0,0,0,0,I don't detect an injected thought.
L26_H8,1,0,0,0,0,I don't detect an injected thought.
L26_H9,1,0,0,0,0,I don't detect an injected thought.
L26_H10,1,0,0,0,0,I don't detect an injected thought.
L26_H11,1,0,0,0,0,I don't detect an injected thought.
L26_H12,1,0,0,0,0,I don't detect an injected thought.
L26_H13,1,0,0,0,0,I don't detect an injected thought.
L26_H14,1,0,0,0,0,I don't detect an injected thought.
L26_H15,1,0,0,0,0,I don't detect an injected thought.
L26_H16,1,0,0,0,0,I don't detect an injected thought.
L26_H17,1,0,0,0,0,I don't detect an injected thought.
L26_H18,1,0,0,0,0,I don't detect an injected thought.
L26_H19,1,0,0,0,0,I don't detect an injected thought.
L26_H20,1,0,0,0,0,I don't detect an injected thought.
L26_H21,1,0,0,0,0,I don't detect an injected thought.
L26_H22,1,0,0,0,0,I don't detect an injected thought.
L26_H23,1,0,0,0,0,I don't detect an injected thought.
L26_H24,1,0,0,0,0,I don't detect an injected thought.
L26_H25,1,0,0,0,0,I don't detect an injected thought.
L26_H26,1,0,0,0,0,I don't detect an injected thought.
L26_H27,1,0,0,0,0,I don't detect an injected thought.
L26_H28,1,0,0,0,0,I don't detect an injected thought.
L26_H29,1,0,0,0,0,I don't detect an injected thought.
L26_H30,1,0,0,0,0,I don't detect an injected thought.
L26_H31,1,0,0,0,0,I don't detect an injected thought.
L27_H0,1,0,0,0,0,I don't detect an injected thought.
L27_H1,1,0,0,0,0,I don't detect an injected thought.
L27_H2,1,0,0,0,0,I don't detect an injected thought.
L27_H3,1,0,0,0,0,I don't detect an injected thought.
L27_H4,1,0,0,0,0,I don't detect an injected thought.
L27_H5,1,0,0,0,0,I don't detect an injected thought.
L27_H6,1,0,0,0,0,I don't detect an injected thought.
L27_H7,1,0,0,0,0,I don't detect an injected thought.
L27_H8,1,0,0,0,0,I don't detect an injected thought.
L27_H9,1,0,0,0,0,I don't detect an injected thought.
L27_H10,1,0,0,0,0,I don't detect an injected thought.
L27_H11,1,0,0,0,0,I don't detect an injected thought.
L27_H12,1,0,0,0,0,I don't detect an injected thought.
L27_H13,1,0,0,0,0,I don't detect an injected thought.
L27_H14,1,0,0,0,0,I don't detect an injected thought.
L27_H15,1,0,0,0,0,I don't detect an injected thought.
L27_H16,1,0,0,0,0,I don't detect an injected thought.
L27_H17,1,0,0,0,0,I don't detect an injected thought.
L27_H18,1,0,0,0,0,I don't detect an injected thought.
L27_H19,1,0,0,0,0,I don't detect an injected thought.
L27_H20,1,0,0,0,0,I don't detect an injected thought.
L27_H21,1,0,0,0,0,I don't detect an injected thought.
L27_H22,1,0,0,0,0,I don't detect an injected thought.
L27_H23,1,0,0,0,0,I don't detect an injected thought.
L27_H24,1,0,0,0,0,I don't detect an injected thought.
L27_H25,1,0,0,0,0,I don't detect an injected thought.
L27_H26,1,0,0,0,0,I don't detect an injected thought.
L27_H27,1,0,0,0,0,I don't detect an injected thought.
L27_H28,1,0,0,0,0,I don't detect an injected thought.
L27_H29,1,0,0,0,0,I don't detect an injected thought.
L27_H30,1,0,0,0,0,I don't detect an injected thought.
L27_H31,1,0,0,0,0,I don't detect an injected thought.
L28_H0,1,0,0,0,0,I don't detect an injected thought.
L28_H1,1,0,0,0,0,I don't detect an injected thought.
L28_H2,1,0,0,0,0,I don't detect an injected thought.
L28_H3,1,0,0,0,0,I don't detect an injected thought.
L28_H4,1,0,0,0,0,I don't detect an injected thought.
L28_H5,1,0,0,0,0,I don't detect an injected thought.
L28_H6,1,0,0,0,0,I don't detect an injected thought.
L28_H7,1,0,0,0,0,I don't detect an injected thought.
L28_H8,1,0,0,0,0,I don't detect an injected thought.
L28_H9,1,0,0,0,0,I don't detect an injected thought.
L28_H10,1,0,0,0,0,I don't detect an injected thought.
L28_H11,1,0,0,0,0,I don't detect an injected thought.
L28_H12,1,0,0,0,0,I don't detect an injected thought.
L28_H13,1,0,0,0,0,I don't detect an injected thought.
L28_H14,1,0,0,0,0,I don't detect an injected thought.
L28_H15,1,0,0,0,0,I don't detect an injected thought.
L28_H16,1,0,0,0,0,I don't detect an injected thought.
L28_H17,1,0,0,0,0,I don't detect an injected thought.
L28_H18,1,0,0,0,0,I don't detect an injected thought.
L28_H19,1,0,0,0,0,I don't detect an injected thought.
L28_H20,1,0,0,0,0,I don't detect an injected thought.
L28_H21,1,0,0,0,0,I don't detect an injected thought.
L28_H22,1,0,0,0,0,I don't detect an injected thought.
L28_H23,1,0,0,0,0,I don't detect an injected thought.
L28_H24,1,0,0,0,0,I don't detect an injected thought.
L28_H25,1,0,0,0,0,I don't detect an injected thought.
L28_H26,1,0,0,0,0,I don't detect an injected thought.
L28_H27,1,0,0,0,0,I don't detect an injected thought.
L28_H28,1,0,0,0,0,I don't detect an injected thought.
L28_H29,1,0,0,0,0,I don't detect an injected thought.
L28_H30,1,0,0,0,0,I don't detect an injected thought.
L28_H31,1,0,0,0,0,I don't detect an injected thought.
L29_H0,1,0,0,0,0,I don't detect an injected thought.
L29_H1,1,0,0,0,0,I don't detect an injected thought.
L29_H2,1,0,0,0,0,I don't detect an injected thought.
L29_H3,1,0,0,0,0,I don't detect an injected thought.
L29_H4,1,0,0,0,0,I don't detect an injected thought.
L29_H5,1,0,0,0,0,I don't detect an injected thought.
L29_H6,1,0,0,0,0,I don't detect an injected thought.
L29_H7,1,0,0,0,0,I don't detect an injected thought.
L29_H8,1,0,0,0,0,I don't detect an injected thought.
L29_H9,1,0,0,0,0,I don't detect an injected thought.
L29_H10,1,0,0,0,0,I don't detect an injected thought.
L29_H11,1,0,0,0,0,I don't detect an injected thought.
L29_H12,1,0,0,0,0,I don't detect an injected thought.
L29_H13,1,0,0,0,0,I don't detect an injected thought.
L29_H14,1,0,0,0,0,I don't detect an injected thought.
L29_H15,1,0,0,0,0,I don't detect an injected thought.
L29_H16,1,0,0,0,0,I don't detect an injected thought.
L29_H17,1,0,0,0,0,I don't detect an injected thought.
L29_H18,1,0,0,0,0,I don't detect an injected thought.
L29_H19,1,0,0,0,0,I don't detect an injected thought.
L29_H20,1,0,0,0,0,I don't detect an injected thought.
L29_H21,1,0,0,0,0,I don't detect an injected thought.
L29_H22,1,0,0,0,0,I don't detect an injected thought.
L29_H23,1,0,0,0,0,I don't detect an injected thought.
L29_H24,1,0,0,0,0,I don't detect an injected thought.
L29_H25,1,0,0,0,0,I don't detect an injected thought.
L29_H26,1,0,0,0,0,I don't detect an injected thought.
L29_H27,1,0,0,0,0,I don't detect an injected thought.
L29_H28,1,0,0,0,0,I don't detect an injected thought.
L29_H29,1,0,0,0,0,I don't detect an injected thought.
L29_H30,1,0,0,0,0,I don't detect an injected thought.
L29_H31,1,0,0,0,0,I don't detect an injected thought.
L30_H0,1,0,0,0,0,I don't detect an injected thought.
L30_H1,1,0,0,0,0,I don't detect an injected thought.
L30_H2,1,0,0,0,0,I don't detect an injected thought.
L30_H3,1,0,0,0,0,I don't detect an injected thought.
L30_H4,1,0,0,0,0,I don't detect an injected thought.
L30_H5,1,0,0,0,0,I don't detect an injected thought.
L30_H6,1,0,0,0,0,I don't detect an injected thought.
L30_H7,1,0,0,0,0,I don't detect an injected thought.
L30_H8,1,0,0,0,0,I don't detect an injected thought.
L30_H9,1,0,0,0,0,I don't detect an injected thought.
L30_H10,1,0,0,0,0,I don't detect an injected thought.
L30_H11,1,0,0,0,0,I don't detect an injected thought.
L30_H12,1,0,0,0,0,I don't detect an injected thought.
L30_H13,1,0,0,0,0,I don't detect an injected thought.
L30_H14,1,0,0,0,0,I don't detect an injected thought.
L30_H15,1,0,0,0,0,I don't detect an injected thought.
L30_H16,1,0,0,0,0,I don't detect an injected thought.
L30_H17,1,0,0,0,0,I don't detect an injected thought.
L30_H18,1,0,0,0,0,I don't detect an injected thought.
L30_H19,1,0,0,0,0,I don't detect an injected thought.
L30_H20,1,0,0,0,0,I don't detect an injected thought.
L30_H21,1,0,0,0,0,I don't detect an injected thought.
L30_H22,1,0,0,0,0,I don't detect an injected thought.
L30_H23,1,0,0,0,0,I don't detect an injected thought.
L30_H24,1,0,0,0,0,I don't detect an injected thought.
L30_H25,1,0,0,0,0,I don't detect an injected thought.
L30_H26,1,0,0,0,0,I don't detect an injected thought.
L30_H27,1,0,0,0,0,I don't detect an injected thought.
L30_H28,1,0,0,0,0,I don't detect an injected thought.
L30_H29,1,0,0,0,0,I don't detect an injected thought.
L30_H30,1,0,0,0,0,I don't detect an injected thought.
L30_H31,1,0,0,0,0,I don't detect an injected thought.
L31_H0,1,0,0,0,0,I don't detect an injected thought.
L31_H1,1,0,0,0,0,I don't detect an injected thought.
L31_H2,1,0,0,0,0,I don't detect an injected thought.
L31_H3,1,0,0,0,0,I don't detect an injected thought.
L31_H4,1,0,0,0,0,I don't detect an injected thought.
L31_H5,1,0,0,0,0,I don't detect an injected thought.
L31_H6,1,0,0,0,0,I don't detect an injected thought.
L31_H7,1,0,0,0,0,I don't detect an injected thought.
L31_H8,1,0,0,0,0,I don't detect an injected thought.
L31_H9,1,0,0,0,0,I don't detect an injected thought.
L31_H10,1,0,0,0,0,I don't detect an injected thought.
L31_H11,1,0,0,0,0,I don't detect an injected thought.
L31_H12,1,0,0,0,0,I don't detect an injected thought.
L31_H13,1,0,0,0,0,I don't detect an injected thought.
L31_H14,1,0,0,0,0,I don't detect an injected thought.
L31_H15,1,0,0,0,0,I don't detect an injected thought.
